,sentence
0,"Kompleto|JJD na|CCP ang|DTC gamit|VBS ni|DTP Maria|NNP para|CCT sa|CCT pagsisimula|NNC niya|PRS sa|CCT Grade|NNP One|NNP ngayong|RBW_CCP pasukan|NNC .|PMP
"
1,"Sabik|RBD na|CCP sabik|JJD na|CCP siyang|PRS_CCP pumasok|VBAF sa|CCT eskuwela|NNC ,|PMC at|CCA gusto|VBS na|CCP niyang|PRS_CCP makilala|VBW ang|DTC mga|DTCP bago|JJD niyang|PRS_CCP kaklase|NNC .|PMP
"
2,"Napaaga|VBTS ng|CCB gising|JJD si|DTP Maria|NNP .|PMP
"
3,"Naghanda|VBTS agad|RBD siya|PRS para|CCT di|RBF mahuli|VBW .|PMP
"
4,"Habang|RBW nag|CDB -|PMS aalmusal|FW ,|PMC narinig|VBTS niya|PRS ng|CCB malakas|JJD sa|CCT radyo|NNC na|CCP bawal|JJD na|CCP raw|RBI lumabas|VBAF ang|DTC mga|DTCP tao|NNC dahil|CCR may|VBH kumakalat|VBTR_VBAF daw|RBI na|CCP pandemya|NNC .|PMP  
"
5,"""|PMS Bakit|PRQ naman|RBI ,|PMC Mama|NNP ?|PMQ
"
6,"Ano|PRQ po|RBS ang|DTC pandemya|NNC ?|PMQ  
"
7,"""|PMS takot|JJD na|CCP tanong|NNC ni|DTP Maria|NNP .|PMP  
"
8,"""|PMS Pandemya|NNP ang|DTC tawag|NNC sa|CCT mabilis|JJD na|CCP pagkalat|VBW ng|CCB isang|PRI_CCP sakit|NNC .|PMP
"
9,"Di|RBF lang|RBI sa|CCT isang|PRI_CCP bansa|NNC kundi|CCT sa|CCT buong|PRI_CCP mundo|NNC ,|PMC ""|PMS sabi|VBS ng|CCB Mama|NNC niya|PRS .|PMP  
"
10,"""|PMS Nakatatakot|JJD pala|NNC ng|CCB pandemya|NNC ,|PMC Mama|NNC !|PMS  
"
11,"""|PMS sabi|VBS ni|DTP Maria|NNP .|PMP  
"
12,"""|PMS Oo|RBT ,|PMC anak|NNC ,|PMC madaling|RBD_CCP makahawa|VBW ang|DTC COVID|NNPA -19|CDB virus|FW .|PMP
"
