tokens,manual_tag,reason,Multitag,tags,,
Iraga|NNP,no_tag,"named entity, beyond our scope",FALSE,,,0
pagpapaunlad|NNC,event,,FALSE,administration,,
Mang|NNP,no_tag,named entity (person),FALSE,,,
kalabasa|NNC,food,,FALSE,aim,,
Sita|NNP,no_tag,named entity (person),FALSE,,,
klasrum|NNC,location,,FALSE,animal,,
kawayan|NNC,object,,FALSE,consequence,,
Ma’am|NNC,person,teacher siya,FALSE,,,
pagpapatakbo|NNC,gerund,,FALSE,event,,
Nanay|NNC,person,common nickname,FALSE,,,
manok|NNC,animal,,FALSE,location,,
Kinaumagahan|NNP,MISC,adverb,FALSE,,,
Tintin|NNP,no_tag,named entity,FALSE,,,
Dumidikit|NNP,no_tag,not a noun,FALSE,,,
tigil|NNC,gerund,"always in ""walang tigil""",FALSE,object,,
Rona|NNC,no_tag,named entity,FALSE,,,
Sara|NNP,no_tag,named entity,FALSE,,,
kalungkutang|NNC_CCP,emotion,,FALSE,organization,,
sapsap|NNC,animal,local fish,FALSE,person,,
pagmamahal|NNC,gerund,,FALSE,,,
Tigsik|NNP,person,"Bikolano for toast, used as friend",FALSE,,,
nakatatanda|NNC,person,elder,FALSE,gerund,,
aya|NNC,no_tag,verb,FALSE,emotion,,
Ali|NNP,no_tag,named entity (person),FALSE,,,
aswang|NNC,mythical creature,,FALSE,mythical creature,,
Lina|NNP,no_tag,named entity (person),FALSE,,,
Ate|NNC,no_tag,named entity (person),FALSE,,,
Bagong|NNP_CCP,no_tag,named entity (Event),FALSE,,,
Uuwi|NNP,no_tag,Verb (start of sentence),FALSE,,,
mata|NNC,body part,,FALSE,body part,,
petchay|NNC,food,,FALSE,food,,
pisngi|NNC,body part,,FALSE,,,
anestisya|NNC,object,,FALSE,,,
galaw|NNC,gerund,,FALSE,,,
Tintukso|NNP,no_tag,Verb (start of sentence),FALSE,,,
singko|NNC,Event,only use case is event,FALSE,,,
Kingan|NNP,no_tag,named entity (person),FALSE,,,
sulat|NNC,object,,FALSE,,,
Nadamay|NNP,no_tag,Verb (start of sentence),FALSE,,,
Palagi|NNP,no_tag,Verb (start of sentence),FALSE,,,
baywang|NNC,body part,,FALSE,,,
ngipin|NNC,body part,,FALSE,,,
Pilo|NNP,no_tag,named entity (person),FALSE,,,
Ana|NNP,no_tag,named entity (person),FALSE,,,
aaya|NNC,no_tag,verb,FALSE,,,
Sssss|NNP,MISC,onomatopoeia,FALSE,,,
Antipolo|NNP,no_tag,named entity (Location),FALSE,,,
tiyan|NNC,body part,,FALSE,,,
Itlog|NNC,object,egg,FALSE,,,
alala|NNC,no_tag,verb,FALSE,,,
kasingkulay|NNC,no_tag,adj,FALSE,,,
alikabok|NNC,object,,FALSE,,,
beses|NNC,event,,FALSE,,,
tsok|NNC,object,chalk,FALSE,,,
noo|NNC,body part,,FALSE,,,
senyales|NNC,event,,FALSE,,,
Pumutak|NNP,no_tag,Verb (start of sentence),FALSE,,,
Tuko|NNP,no_tag,named entity (person),FALSE,,,
tinidor|NNC,object,,FALSE,,,
panangga|NNC,object,,FALSE,,,
sinaing|NNC,food,,FALSE,,,
Napisa|NNP,no_tag,Verb (start of sentence),FALSE,,,
bilhan|NNC,no_tag,verb,FALSE,tags,,
siyudad|NNC,location,,FALSE,administration,,
lilim|NNC,location,,FALSE,aim,,
Martin|NNP,no_tag,named entity (person),FALSE,,,
yo|NNC,no_tag,"tandom ng sa'yo, iyo, pronoun",FALSE,animal,,
tribo|NNC,organization,,FALSE,consequence,,
Kinusot|NNP,no_tag,Verb (start of sentence),FALSE,,,
Namasyal|NNP,no_tag,Verb (start of sentence),FALSE,,,
Mikoy|NNP,no_tag,named entity (person),FALSE,,,
hiwagang|NNC_CCP,MISC,abstract,FALSE,event,,
pagpapaliwanag|NNC,no_tag,verb,FALSE,location,,
kapangyarihan|NNC,MISC,abstract,FALSE,object,,
pupuntahan|NNC,location,,FALSE,organization,,
ramo|NNC,animal,"partner of baboy ramo, only use case",FALSE,person,,
upo|NNC,food,the vegetable,FALSE,,,
Hinahagis|NNP,no_tag,Verb (start of sentence),FALSE,,,
O|NNPA,no_tag,interjection,FALSE,,,
talim|NNC,no_tag,"adj, only use case",FALSE,gerund,,
itsura|NNC,MISC,abstract,FALSE,emotion,,
nyebe|NNC,location,use case based,FALSE,mythical creature,,
sandali|NNC,event,,FALSE,body part,,
halika|NNC,no_tag,interjection,FALSE,food,,
harap|NNC,location,,FALSE,,,
Balabaw|NNP,no_tag,named entity (person),FALSE,,,
Inay|NNP,no_tag,named entity (person),FALSE,,,
bulalakaw|NNC,object,,FALSE,,,
aswang|NNC_CCP,mythical creature,,FALSE,,,
Isay|NNP,no_tag,named entity (person),FALSE,,,
Sumasagwan|NNP,no_tag,Verb (start of sentence),FALSE,,,
Anila|NNP,no_tag,named entity (person),FALSE,,,
Bituon|NNP,no_tag,named entity (person),FALSE,,,
pagbabangayan|NNC,gerund,use case based,FALSE,,,
hapong|NNC_CCP,event,could be time,FALSE,,,
kalagayan|NNC,MISC,abstract,FALSE,,,
tatay|NNC,person,,FALSE,,,
boses|NNC,MISC,,FALSE,,,
Po|NNP,no_tag,interjection,FALSE,,,
bulsa|NNC,object,,FALSE,,,
pagitan|NNC,location,,FALSE,,,
Idrowing|NNP,no_tag,Verb (start of sentence),FALSE,,,
ate|NNC,person,,FALSE,,,
Kabugwasun|NNP,no_tag,named entity (person),FALSE,,,
halimuyak|NNC,MISC,nothing for smell,FALSE,,,
Muning|NNP,no_tag,named entity (animal),FALSE,,,
ilong|NNC,body part,,FALSE,,,
hinga|NNC,no_tag,verb,FALSE,,,
anakan|NNC,person,use case anak-anakan,FALSE,,,
tiyuhin|NNC,person,,FALSE,,,
Kurakog|NNP,no_tag,named entity (person),FALSE,,,
Manoy|NNP,no_tag,named entity (person),FALSE,,,
Paglingon|NNP,no_tag,Verb (start of sentence),FALSE,,,
